,pelicula,fecha_estreno,tipo_estreno,duracion,genero,director,calf_medios,calf_usuarios,calf_sensacine,nacionalidad,distribuidora,fecha_produccion,presupuesto,idioma
0,"

The Godfather
","
20 de octubre de 1972
","
en cines
",2h 55min,Crimen,Francis Ford Coppola,"4,8","4,7",, EE.UU., 39 Escalones ,1972,6 000 000 USD,Inglés
1,"

The Godfather
","
20 de octubre de 1972
","
en cines
",2h 55min,Crimen,Francis Ford Coppola,"4,8","4,7",, EE.UU., 39 Escalones ,1972,6 000 000 USD,Italiano
2,"

The Godfather
","
20 de octubre de 1972
","
en cines
",2h 55min,Crimen,Francis Ford Coppola,"4,8","4,7",, EE.UU., 39 Escalones ,1972,6 000 000 USD,Latín
3,"

The Godfather
","
20 de octubre de 1972
","
en cines
",2h 55min,Drama,Francis Ford Coppola,"4,8","4,7",, EE.UU., 39 Escalones ,1972,6 000 000 USD,Inglés
4,"

The Godfather
","
20 de octubre de 1972
","
en cines
",2h 55min,Drama,Francis Ford Coppola,"4,8","4,7",, EE.UU., 39 Escalones ,1972,6 000 000 USD,Italiano
5,"

The Godfather
","
20 de octubre de 1972
","
en cines
",2h 55min,Drama,Francis Ford Coppola,"4,8","4,7",, EE.UU., 39 Escalones ,1972,6 000 000 USD,Latín
6,"

Schindler's List
","
4 de marzo de 1994
","
en cines
",3h 15min,Biopic,Steven Spielberg,"4,5","4,6","3,0", EE.UU., Universal Pictures International Spain ,1993,25 000 000 USD,Inglés
7,"

Schindler's List
","
4 de marzo de 1994
","
en cines
",3h 15min,Biopic,Steven Spielberg,"4,5","4,6","3,0", EE.UU., Universal Pictures International Spain ,1993,25 000 000 USD,Alemán
8,"

Schindler's List
","
4 de marzo de 1994
","
en cines
",3h 15min,Biopic,Steven Spielberg,"4,5","4,6","3,0", EE.UU., Universal Pictures International Spain ,1993,25 000 000 USD,Hebreo
9,"

Schindler's List
","
4 de marzo de 1994
","
en cines
",3h 15min,Drama,Steven Spielberg,"4,5","4,6","3,0", EE.UU., Universal Pictures International Spain ,1993,25 000 000 USD,Inglés
10,"

Schindler's List
","
4 de marzo de 1994
","
en cines
",3h 15min,Drama,Steven Spielberg,"4,5","4,6","3,0", EE.UU., Universal Pictures International Spain ,1993,25 000 000 USD,Alemán
11,"

Schindler's List
","
4 de marzo de 1994
","
en cines
",3h 15min,Drama,Steven Spielberg,"4,5","4,6","3,0", EE.UU., Universal Pictures International Spain ,1993,25 000 000 USD,Hebreo
12,"

Schindler's List
","
4 de marzo de 1994
","
en cines
",3h 15min,Histórico,Steven Spielberg,"4,5","4,6","3,0", EE.UU., Universal Pictures International Spain ,1993,25 000 000 USD,Inglés
13,"

Schindler's List
","
4 de marzo de 1994
","
en cines
",3h 15min,Histórico,Steven Spielberg,"4,5","4,6","3,0", EE.UU., Universal Pictures International Spain ,1993,25 000 000 USD,Alemán
14,"

Schindler's List
","
4 de marzo de 1994
","
en cines
",3h 15min,Histórico,Steven Spielberg,"4,5","4,6","3,0", EE.UU., Universal Pictures International Spain ,1993,25 000 000 USD,Hebreo
15,"

The Godfather: Part II
","
13 de octubre de 1975
","
en cines
",3h 20min,Crimen,Francis Ford Coppola,"3,9","4,6",, EE.UU.,,1974,13 000 000 USD,-
16,"

The Godfather: Part II
","
13 de octubre de 1975
","
en cines
",3h 20min,Drama,Francis Ford Coppola,"3,9","4,6",, EE.UU.,,1974,13 000 000 USD,-
17,"

The Shawshank Redemption
","
24 de febrero de 1995
","
en cines
",2h 22min,Drama,Frank Darabont,"4,3","4,6","4,0", EE.UU., Filmayer ,1994,25 000 000 USD,-
18,"

La vita e bella
","
26 de febrero de 1999
","
en cines
",1h 57min,Comedia,Roberto Benigni,"4,2","4,6","2,5", Italia, Lauren Film ,1998,-,-
19,"

La vita e bella
","
26 de febrero de 1999
","
en cines
",1h 57min,Comedia dramática,Roberto Benigni,"4,2","4,6","2,5", Italia, Lauren Film ,1998,-,-
20,"

La vita e bella
","
26 de febrero de 1999
","
en cines
",1h 57min,Drama,Roberto Benigni,"4,2","4,6","2,5", Italia, Lauren Film ,1998,-,-
21,"

Tom Hanks,
Gary Sinise,
Robin Wright
","
23 de septiembre de 1994
","
en cines
",2h 20min,Comedia,Robert Zemeckis,"4,1","4,6","3,5", EE.UU., Paramount Pictures Spain ,1994,55 000 000 USD,-
22,"

Tom Hanks,
Gary Sinise,
Robin Wright
","
23 de septiembre de 1994
","
en cines
",2h 20min,Drama,Robert Zemeckis,"4,1","4,6","3,5", EE.UU., Paramount Pictures Spain ,1994,55 000 000 USD,-
23,"

Tom Hanks,
Gary Sinise,
Robin Wright
","
23 de septiembre de 1994
","
en cines
",2h 20min,Romántico,Robert Zemeckis,"4,1","4,6","3,5", EE.UU., Paramount Pictures Spain ,1994,55 000 000 USD,-
24,"

Gladiator
","
17 de mayo de 2000
","
en cines
",2h 35min,Acción,Ridley Scott,"3,9","4,6","2,0", EE.UU., Universal Pictures International Spain ,2000,103 000 000 USD,-
25,"

Gladiator
","
17 de mayo de 2000
","
en cines
",2h 35min,Aventura,Ridley Scott,"3,9","4,6","2,0", EE.UU., Universal Pictures International Spain ,2000,103 000 000 USD,-
26,"

Gladiator
","
17 de mayo de 2000
","
en cines
",2h 35min,Histórico,Ridley Scott,"3,9","4,6","2,0", EE.UU., Universal Pictures International Spain ,2000,103 000 000 USD,-
27,"

The Lion King
","
11 de noviembre de 1994
","
en cines
",1h 29min,Aventura,Roger Allers,"4,5","4,6","2,0", EE.UU., Walt Disney Studios Motion Picture Spain ,1994,45 000 000 USD,Inglés
28,"

The Lion King
","
11 de noviembre de 1994
","
en cines
",1h 29min,Aventura,Rob Minkoff,"4,5","4,6","2,0", EE.UU., Walt Disney Studios Motion Picture Spain ,1994,45 000 000 USD,Inglés
29,"

The Lion King
","
11 de noviembre de 1994
","
en cines
",1h 29min,Animación,Roger Allers,"4,5","4,6","2,0", EE.UU., Walt Disney Studios Motion Picture Spain ,1994,45 000 000 USD,Inglés
30,"

The Lion King
","
11 de noviembre de 1994
","
en cines
",1h 29min,Animación,Rob Minkoff,"4,5","4,6","2,0", EE.UU., Walt Disney Studios Motion Picture Spain ,1994,45 000 000 USD,Inglés
31,"

The Lion King
","
11 de noviembre de 1994
","
en cines
",1h 29min,Familia,Roger Allers,"4,5","4,6","2,0", EE.UU., Walt Disney Studios Motion Picture Spain ,1994,45 000 000 USD,Inglés
32,"

The Lion King
","
11 de noviembre de 1994
","
en cines
",1h 29min,Familia,Rob Minkoff,"4,5","4,6","2,0", EE.UU., Walt Disney Studios Motion Picture Spain ,1994,45 000 000 USD,Inglés
33,"

The Lion King
","
11 de noviembre de 1994
","
en cines
",1h 29min,Comedia musical,Roger Allers,"4,5","4,6","2,0", EE.UU., Walt Disney Studios Motion Picture Spain ,1994,45 000 000 USD,Inglés
