pelicula,fecha_estreno,tipo_estreno,duracion,genero,director,calf_medios,calf_usuarios,calf_sensacine,nacionalidad,distribuidora,fecha_produccion,presupuesto,idioma
The Godfather,1972-10-20,Cines,2h 55min,Crimen,Francis Ford Coppola,4.8,4.7,, EE.UU., 39 Escalones ,1972-01-01,6000000,Inglés
The Godfather,1972-10-20,Cines,2h 55min,Crimen,Francis Ford Coppola,4.8,4.7,, EE.UU., 39 Escalones ,1972-01-01,6000000,Italiano
The Godfather,1972-10-20,Cines,2h 55min,Crimen,Francis Ford Coppola,4.8,4.7,, EE.UU., 39 Escalones ,1972-01-01,6000000,Latín
The Godfather,1972-10-20,Cines,2h 55min,Drama,Francis Ford Coppola,4.8,4.7,, EE.UU., 39 Escalones ,1972-01-01,6000000,Inglés
The Godfather,1972-10-20,Cines,2h 55min,Drama,Francis Ford Coppola,4.8,4.7,, EE.UU., 39 Escalones ,1972-01-01,6000000,Italiano
The Godfather,1972-10-20,Cines,2h 55min,Drama,Francis Ford Coppola,4.8,4.7,, EE.UU., 39 Escalones ,1972-01-01,6000000,Latín
Schindler's List,1994-03-04,Cines,3h 15min,Biopic,Steven Spielberg,4.5,4.6,3.0, EE.UU., Universal Pictures International Spain ,1993-01-01,25000000,Inglés
Schindler's List,1994-03-04,Cines,3h 15min,Biopic,Steven Spielberg,4.5,4.6,3.0, EE.UU., Universal Pictures International Spain ,1993-01-01,25000000,Alemán
Schindler's List,1994-03-04,Cines,3h 15min,Biopic,Steven Spielberg,4.5,4.6,3.0, EE.UU., Universal Pictures International Spain ,1993-01-01,25000000,Hebreo
Schindler's List,1994-03-04,Cines,3h 15min,Drama,Steven Spielberg,4.5,4.6,3.0, EE.UU., Universal Pictures International Spain ,1993-01-01,25000000,Inglés
Schindler's List,1994-03-04,Cines,3h 15min,Drama,Steven Spielberg,4.5,4.6,3.0, EE.UU., Universal Pictures International Spain ,1993-01-01,25000000,Alemán
